id,tweet,count,group
1,"America can't be compromised by leaders with conflicting loyalties．",2,1
2,"Hillary has such an impressive history of working for us all!",12,1
3,"She believes America is already great and will improve it even more!",3,3
4,"She's a liar and should buy Glennbeck's new book",2,2
5,"Calling millions of Americans a basket of deplorables is frightening, hearing this makes her Negroponte endorsement make sense．",1,2
6,"I am not a HillaryClinton fan, but I hope she's okay．",5,3
7,"WithHerBecause I'm excited to have them BOTH back in the White House!",1,2
8,"ImWithHer because she cared enough to prepare． She's smart． Ready． And passionate about details because they matter．",15,1
9,"Trump repeatedly claimed he has ""a foolproof way of winning the war with ISIS．"" How many will have to die before he shares it?",3,1
10,"Hillary Clinton doesn't care about BlackLives She only cares about BlackVotes",7,2
11,"""I support Donald Trump because a wall would have kept Mark Sanchez from taking my job．""",1,2
12,"She’s a criminal． She does not deserve to hold office． Trump just has a loud mouth． Hillary will destroy the country．",3,2
13,"Only one choice． I can&#039;t believe Trump．",1,3
14,"Hillary, because she&#039;s got unparalleled leadership and political experience． She&#039;s able to take a stand but can also compromise．",1,1
15,"I&#039;m with her because she is the most pro-science and intellectual candidate．",1,1
16,"I&#039;m voting for Clinton because she&#039;s way better than Trump．",1,1
17,"Donald Trump is a sham． He is only interested in his own popularity and power, and is a sexist, racist liar．",7,3
18,"Hillary knows how it works．",2,3
19,"Trump would be a disaster to the Japan-Us alliance．",2,3
20,"I am against Trump because he doesn&#039;t seem to have the  emotional stability required from someone that can launch nuclear weapons．",3,3
21,"I think he doesn&#039;t have the minimal level of knowledge required to be capable of running a country．",4,3
22,"Both candidates are not great, I don&#039;t vote but if I were to I would choose her as the lesser of two evils",1,3
23,"NeverTrump bc public persona of cruelty and predatory business practices, and a campaign conjuring xenophobia to answer with empty slogans．",2,3
24,"Choosing between a liar and a lunatic is hard．",1,2
25,"Because she&#039;s a better choice than Donald Trump and isn&#039;t hateful and racist．",1,3
26,"At this moment I think both of them have many problem with conducting the country",6,2
27,"She&#039;s a traitorous liar．",1,2
28,"There are faults from both, but my thinking leans towards Trump． Mainly due to his ideals of guiding leadership．",2,2
29,"I believe we need to break out of a two-party election．",1,3
30,"I&#039;m supporting Trump on 2nd debate that he&#039;s totally against war．",1,2
31,"She is the lesser of 2 evils",1,3
32,"Hillary is a liar． Period",3,3
33,"Hillary should go to jail．",1,2
34,"We need insurance",1,2
35,"I&#039;m not with her． I feel the bern． But we are stronger together",2,3
36,"Both options are terrible, break the two party system!",1,2
37,"She has flaws but she is still the more informed candidate．",2,3
38,"I believe that both are incapable of running this country．",3,3
39,"I feel America needs a leader that believes in America and its dream",1,1
40,"Both not the best candidates, but #Imwithher",1,1
41,"Trump makes fun of special needs individuals which is very unethical and rude．",1,2
42,"I don&#039;t want neither of them to be my president",1,3
43,"Donald trump is the outsider that America needs． Nationalism, not globalism",1,1
44,"She is current and he is horrible． I disagree with almost all her policies． Never either．",1,1
45,"Gary Johnson．",1,1
46,"Trump has great ideas． He&#039;s a very brilliant man",1,2
47,"Never Trump Or Hillary!Neither are trustworthy or capable of transparent presidency promoting peace prosperity &amp; freedom．Im W/ Gary Johnson．",1,3
48,"While Hillary Clinton has flaws, Donald Trump is temperamentally unfit to be President or to hold any public office in the United States．",1,3
